id,entity,child_sku_id,style_id,style_name,title,gender,size,category,material,color,cost_amount,currency_code,selling_price,mrp_price,gst_rate_pct,amazon_title,myntra_title,myntra_product_code,amazon_sku,myntra_sku,shopify_sku,nykaa_sku,flipkart_sku,unicommerce_sku,created_at,updated_at
4a1b49ee-b997-4ae3-a1ae-ace47fa14dd8,Fulton,IN100182,BL1003,Allure Affair,Red Allure Affair - 40,F,40,Blouse,Rayon,Red,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
4a2d0eae-e588-46a6-a8cd-27a861a1c6f0,Fulton,IN100025,BL1001,Divine Depth,White Divine Depth - 40,F,40,Blouse,Rayon,White,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
4cbdbc3b-7e1a-452a-9216-051d1b849c42,Fulton,IN100205,BL1003,Allure Affair,Red Allure Affair - 44,F,44,Blouse,Rayon,Red,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
500f8860-9028-4cac-b188-3b9020e745cf,Fulton,IN100163,BL1004,Forever Classy,Black Forever Classy - 34,F,34,Blouse,Rayon,Black,190.00,_,799.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
5079fd97-0483-4830-8208-b10c165198ee,Fulton,IN100126,BL1002,Graceful Pleat,White Graceful Pleat - 42,F,42,Blouse,Rayon,White,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
51c32c29-11b0-4121-9aa9-dd038e81b2a7,Fulton,IN100074,BL1001,Divine Depth,Beige Divine Depth - 46,F,46,Blouse,Rayon,Beige,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
525fc603-ecbf-48ef-8341-124124aaf208,Fulton,IN100150,BL1007,Charm Slope,Beige Charm Slope - 44,F,44,Blouse,Rayon,Beige,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
53258b23-bc81-4a55-90f0-391ad185b856,Fulton,IN100028,BL1001,Divine Depth,White Divine Depth - 42,F,42,Blouse,Rayon,White,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
548d9316-20ff-40ec-b58c-300c7018d66e,Fulton,IN100129,BL1001,Divine Depth,Festive Black Divine Depth,F,48,Blouse,Lurex - Thick Line,Festive Black,260.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
55ceed0f-caad-48c3-a21a-7fae2f893280,Fulton,IN100114,BL1007,Charm Slope,White Charm Slope - 40,F,40,Blouse,Rayon,White,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
